,song,artist,Last Week Ranking,Peak Ranking,Weeks on Chart
0,TEXAS HOLD 'EM,Beyoncé,2,1,13
1,Lose Control,Teddy Swims,4,2,26
2,Beautiful Things,Benson Boone,8,3,3
3,Flowers,Miley Cyrus,3,1,40
4,Turn the Lights Back On,Billy Joel,10,2,60
5,Don't Let the Old Man In,Toby Keith,6,1,24
6,Lovin On Me,Jack Harlow,5,3,21
7,Selfish,Justin Timberlake,20,2,46
8,Sorrys & Ferraris,Polo G,7,7,20
9,TEXAS HOLD 'EM,Beyoncé,32,1,51
10,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,12,11,19
11,Made For Me,Muni Long,11,7,19
12,Houdini,Dua Lipa,1,1,2
13,Training Season,Dua Lipa,9,5,4
14,Fast Car,Luke Combs,14,1,54
15,Fast Car,Tracy Chapman,15,7,49
16,Live Like You Were Dying,Tim McGraw,13,1,27
17,Save Me,Jelly Roll,21,1,15
18,Let's Go,Key Glock,18,18,8
19,Yeah! (feat. Lil Jon & Ludacris),USHER,31,14,29
20,Lil Boo Thang,Paul Russell,17,1,4
21,Cruel Summer,Taylor Swift,30,11,13
22,16 CARRIAGES,Beyoncé,19,19,2
23,Where the Wild Things Are,Luke Combs,27,24,22
24,Until I Found You,Stephen Sanchez,22,20,8
25,Need a Favor,Jelly Roll,33,26,12
26,Country's Cool Again,Lainey Wilson,26,24,9
27,In Case You Didn't Know,Brett Young,28,28,4
28,Spicy Margarita,Jason Derulo & Michael Bublé,46,1,29
29,You Are the Reason,Calum Scott,44,30,18
30,"yes, and?",Ariana Grande & Mariah Carey,25,12,29
31,Three Little Birds,Bob Marley & The Wailers,29,11,18
32,Until I Found You (Em Beihold Version),Stephen Sanchez & Em Beihold,50,33,21
33,Powerful Women,Pitbull & Dolly Parton,54,34,12
34,Water,Tyla,35,35,18
35,White Horse,Chris Stapleton,36,36,10
36,Murder On the Dancefloor (Radio Edit),Sophie Ellis-Bextor,43,6,32
37,Should've Been a Cowboy,Toby Keith,38,1,-
38,"What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,41,13,43
39,Thinkin’ Bout Me,Morgan Wallen,49,19,31
40,Hard to Love,Lee Brice,39,4,32
41,It Ain't Over 'Til It's Over,Lenny Kravitz,6,22,-
42,Good Day,Forrest Frank,38,14,21
43,A Country Boy Can Survive,"Hank Williams, Jr.",48,21,15
44,Save Me (with Lainey Wilson),Jelly Roll,42,25,26
45,One Love / People Get Ready,Bob Marley & The Wailers,51,36,34
46,Lovin On Me,Jack Harlow,45,1,18
47,Devil You Know,Tyler Braden,47,40,13
48,Anti-Hero,Taylor Swift,55,42,21
49,Spin You Around (1/24),Morgan Wallen,52,26,20
50,"Courtesy of the Red, White and Blue (The Angry American)",Toby Keith,24,24,2
51,You Are the Reason (Duet Version),Calum Scott & Leona Lewis,37,37,2
52,Love Story (Taylor’s Version),Taylor Swift,34,22,4
53,There Was Jesus,Zach Williams & Dolly Parton,40,15,9
54,Wildflowers and Wild Horses (Single Version),Lainey Wilson,60,52,16
55,Watermelon Moonshine,Lainey Wilson,53,46,8
56,bury a friend,Billie Eilish,58,57,7
57,You’re Losing Me (From The Vault),Taylor Swift,56,10,4
58,What I Couldn’t Forget,Drake Milligan,57,51,6
59,Lover,Taylor Swift,74,60,2
60,Last Night,Morgan Wallen,59,59,5
61,Standing Next to You (USHER Remix),Jung Kook & USHER,62,1,-
62,You Belong With Me (Taylor’s Version),Taylor Swift,64,15,20
63,CARNIVAL,"¥$, Kanye West & Ty Dolla $ign",79,64,2
64,Dance The Night,Dua Lipa,61,11,12
65,To Be A Man (feat. Darius Rucker),Dax,66,60,10
66,Fly Away,Lenny Kravitz,62,40,14
67,Tennessee Whiskey,Chris Stapleton,68,1,-
68,Standing Next to You (Usher Remix),Jung Kook & USHER,81,5,15
69,As Good As I Once Was,Toby Keith,63,53,8
70,Pretty Little Poison,Warren Zeiders,68,51,20
71,Karma,Taylor Swift,65,2,18
72,Stick Season,Noah Kahan,73,59,6
73,23,Chayce Beckham,75,64,6
74,EASY,LE SSERAFIM,70,43,4
75,"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship,69,61,8
76,The Door,Teddy Swims,67,5,17
77,TRUCK BED,HARDY,84,55,6
78,We Are the World,U.S.A. for Africa,80,67,8
79,You Need To Calm Down,Taylor Swift,77,77,2
80,A Symptom Of Being Human,Shinedown,94,5,14
81,Bulletproof,Nate Smith,83,20,14
82,redrum,21 Savage,78,65,7
83,Lead Me Home,Jamey Johnson,86,72,16
84,Good Days,SZA,99,19,10
85,Unwritten,Natasha Bedingfield,87,86,5
86,Dance You Outta My Head,Cat Janice,87,1,-
87,Life With You,Kelsey Hart,72,18,4
88,Strangers,Kenya Grace,71,19,4
89,Everybody (feat. Lil Uzi Vert),Nicki Minaj,76,40,4
90,Can't Get Enough,Jennifer Lopez,82,61,19
91,Give In to Me,Garrett Hedlund & Leighton Meester,90,71,7
92,...Ready For It?,Taylor Swift,85,79,7
93,How Do You Like Me Now?!,Toby Keith,94,2,-
94,Purple Irises,Gwen Stefani & Blake Shelton,96,95,3
95,Tell It To My Heart,Cash Cash & Taylor Dayne,100,92,4
96,"We Takin' Over (feat. Akon, T.I., Rick Ross, Fat Joe, Baby & Lil' Wayne)",DJ Khaled,97,37,10
97,Used To Be Young,Miley Cyrus,98,1,-
98,Heart Like a Truck,Lainey Wilson,91,91,3
99,greedy,Tate McRae,32,7,-
