,song,artist,genre,release_date
0,TEXAS HOLD 'EM,Beyoncé,Country," February 11, 2024"
1,Lose Control,Teddy Swims,Pop," June 23, 2023"
2,Beautiful Things,Benson Boone,Pop," January 19, 2024"
3,Flowers,Miley Cyrus,Pop," January 12, 2023"
4,Turn the Lights Back On,Billy Joel,Pop," February 1, 2024"
5,Don't Let the Old Man In,Toby Keith,Country," December 7, 2018"
6,Lovin On Me,Jack Harlow,Hip-Hop / Rap," February 23, 2022"
7,Selfish,Justin Timberlake,Pop," January 25, 2024"
8,Sorrys & Ferraris,Polo G,New Release, Rap
9,TEXAS HOLD 'EM,Beyoncé,Country," February 9, 2024"
10,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Country," January 27, 2023"
11,Made For Me,Muni Long,R&B / Soul," September 15, 2023"
12,Houdini,Dua Lipa,Pop," November 9, 2023"
13,Training Season,Dua Lipa,New Release, Pop
14,Fast Car,Luke Combs,Country," March 24, 2023"
15,Fast Car,Tracy Chapman,Apple Music / iTunes," April 1, 1988"
16,Live Like You Were Dying,Tim McGraw,Country," June 7, 2004"
17,Save Me,Jelly Roll,Apple Music / iTunes," June 25, 2020"
18,Let's Go,Key Glock,Hip-Hop / Rap," June 23, 2023"
19,Yeah! (feat. Lil Jon & Ludacris),USHER,R&B / Soul," January 10, 2004"
20,Lil Boo Thang,Paul Russell,Pop," August 18, 2023"
21,Cruel Summer,Taylor Swift,Pop," August 23, 2019"
22,16 CARRIAGES,Beyoncé,Country," February 11, 2024"
23,Where the Wild Things Are,Luke Combs,Country," March 24, 2023"
24,Until I Found You,Stephen Sanchez,Apple Music / iTunes," September 1, 2021"
25,Need a Favor,Jelly Roll,Country," December 9, 2022"
26,Country's Cool Again,Lainey Wilson,New Release, Country
27,In Case You Didn't Know,Brett Young,Country," January 1, 2016"
28,Spicy Margarita,Jason Derulo & Michael Bublé,Pop," January 25, 2024"
29,You Are the Reason,Calum Scott,Pop," March 9, 2018"
30,"yes, and?",Ariana Grande & Mariah Carey,New Release, Pop
31,Three Little Birds,Bob Marley & The Wailers,Reggae," May 8, 1984"
32,Until I Found You (Em Beihold Version),Stephen Sanchez & Em Beihold,Apple Music / iTunes," April 22, 2022"
33,Powerful Women,Pitbull & Dolly Parton,New Release, Pop
34,Water,Tyla,Pop," July 28, 2023"
35,White Horse,Chris Stapleton,Country," July 21, 2023"
36,Murder On the Dancefloor (Radio Edit),Sophie Ellis-Bextor,Dance," January 1, 2002"
37,Should've Been a Cowboy,Toby Keith,Country," January 1, 1993"
38,"What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,Alternative," July 13, 2023"
39,Thinkin’ Bout Me,Morgan Wallen,Country," March 3, 2023"
40,Hard to Love,Lee Brice,Country," April 24, 2012"
41,It Ain't Over 'Til It's Over,Lenny Kravitz,Rock," April 2, 1991"
42,Good Day,Forrest Frank,Christian & Gospel," January 19, 2024"
43,A Country Boy Can Survive,"Hank Williams, Jr.",Country," August 1, 1981"
44,Save Me (with Lainey Wilson),Jelly Roll,Country," February 1, 2023"
45,One Love / People Get Ready,Bob Marley & The Wailers,Reggae," May 8, 1984"
